x y z charge scale scaleCoul Type
 0 0 7.81519  15.5078  3.27586 0 1 1 3
 0 1 -4.26971  21.6487  3.27586 0 1 1 3
 0 2 -3.54548  8.11241  3.27586 0 1 1 3
 0 3 5.25281  7.12668  3.66614 0 1 1 3
 0 4 17.3377  0.98573  3.66614 0 1 1 3
 0 5 16.6135  14.522  3.66614 0 1 1 3
 0 6 7.81532  0.418058  5.58984 0 1 1 3
 0 7 21.8664  6.55901  5.58984 0 1 1 3
 0 8 9.52265  15.6571  5.58984 0 1 1 3
 0 9 -7.81506  14.6714  5.98012 0 1 1 3
 0 10 4.26984  8.53047  5.98012 0 1 1 3
 0 11 3.54561  22.0668  5.98012 0 1 1 3
 0 12 20.8831  7.96302  0.961884 0 1 1 3
 0 13 8.79816  14.104  0.961884 0 1 1 3
 0 14 9.52239  0.567672  0.961884 0 1 1 3
 0 15 5.25268  22.2164  1.35216 0 1 1 3
 0 16 -8.79842  16.0754  1.35216 0 1 1 3
 0 17 3.54535  6.97729  1.35216 0 1 1 3
 0 18 21.4459  6.73963  2.50176 0 1 1 2
 0 19 9.57636  15.2029  2.50176 0 1 1 2
 0 20 8.18174  0.691935  2.50176 0 1 1 2
 0 21 -8.37789  15.8948  4.44024 0 1 1 2
 0 22 3.49164  7.43157  4.44024 0 1 1 2
 0 23 4.88626  21.9425  4.44024 0 1 1 2
 0 24 8.37803  14.2844  4.81573 0 1 1 2
 0 25 9.57649  0.113172  4.81573 0 1 1 2
 0 26 21.2499  8.23667  4.81573 0 1 1 2
 0 27 17.7582  0.805107  6.75422 0 1 1 2
 0 28 16.5598  14.9763  6.75422 0 1 1 2
 0 29 4.88639  6.8528  6.75422 0 1 1 2
 0 30 -4.69024  21.8293  0.187781 0 1 1 2
 0 31 -3.49177  7.65814  0.187781 0 1 1 2
 0 32 8.18161  15.7816  0.187781 0 1 1 2
 0 33 4.68997  8.35007  2.12627 0 1 1 2
 0 34 3.49151  22.5213  2.12627 0 1 1 2
 0 35 -8.18187  14.3978  2.12627 0 1 1 2
 0 36 21.2326  5.21679  4.23601 0 1 1 2
 0 37 11.0018  15.7796  4.23601 0 1 1 2
 0 38 6.96956  1.63805  4.23601 0 1 1 2
 0 39 -8.16463  17.4177  2.70599 0 1 1 2
 0 40 2.06618  6.85484  2.70599 0 1 1 2
 0 41 6.09844  20.9964  2.70599 0 1 1 2
 0 42 8.16476  12.7615  6.54999 0 1 1 2
 0 43 11.0019  0.689898  6.54999 0 1 1 2
 0 44 20.0377  9.18279  6.54999 0 1 1 2
 0 45 17.9715  2.32795  5.01997 0 1 1 2
 0 46 15.1343  14.3996  5.01997 0 1 1 2
 0 47 6.09857  5.90668  5.01997 0 1 1 2
 0 48 -4.90351  20.3065  1.92203 0 1 1 2
 0 49 -2.06631  8.23486  1.92203 0 1 1 2
 0 50 6.96943  16.7278  1.92203 0 1 1 2
 0 51 4.90324  9.87292  0.392015 0 1 1 2
 0 52 2.06605  21.9445  0.392015 0 1 1 2
 0 53 -6.96969  13.4516  0.392015 0 1 1 2
 0 54 -5.6476  21.3228  4.67773 0 1 1 2
 0 55 -2.57427  7.08209  4.67773 0 1 1 2
 0 56 8.22186  16.864  4.67773 0 1 1 2
 0 57 18.7156  1.31167  2.26427 0 1 1 2
 0 58 15.6423  15.5524  2.26427 0 1 1 2
 0 59 4.84614  5.77042  2.26427 0 1 1 2
 0 60 20.4885  6.23307  0.0497047 0 1 1 2
 0 61 10.4939  14.6268  0.0497047 0 1 1 2
 0 62 8.22199  1.77431  0.0497047 0 1 1 2
 0 63 5.64773  8.8564  4.57825 0 1 1 2
 0 64 15.6424  0.462648  4.57825 0 1 1 2
 0 65 17.9143  13.3152  4.57825 0 1 1 2
 0 66 7.42027  13.778  2.36375 0 1 1 2
 0 67 -2.5744  22.1718  2.36375 0 1 1 2
 0 68 -4.84627  9.31928  2.36375 0 1 1 2
 0 69 -7.42053  16.4014  6.8923 0 1 1 2
 0 70 2.57413  8.00761  6.8923 0 1 1 2
 0 71 4.84601  20.8601  6.8923 0 1 1 2
 0 72 21.0073  5.56355  2.96444 0 1 1 1
 0 73 10.8142  15.4111  2.96444 0 1 1 1
