Component 1: methane
Min Macrostate : 200
Max Macrostate : 300
Wang-Landau Factor : 1
N CM[-1] CM[0] CM[1] WLBias ln_g TMBias lnpi Forward_lnpi Reverse_lnpi Histogram
251 14963 919314 11408.9 -1.07197e+06 1.09764e+06 14.4342 -14.4342 -16.6352 -12.4905 939556
252 15074.3 918666 11639.3 -1.09763e+06 1.10158e+06 14.7132 -14.7132 -16.9087 -12.7695 944108
253 14721.2 910993 11525 -1.10156e+06 1.09986e+06 14.9562 -14.9562 -17.1671 -13.0125 943261
254 15062.6 933359 11642.3 -1.09979e+06 1.11399e+06 15.1997 -15.1997 -17.4107 -13.256 953634
255 14767.5 921952 11532.2 -1.11399e+06 1.10627e+06 15.4494 -15.4494 -17.6675 -13.5057 948529
256 14491.1 911424 11340 -1.10626e+06 1.09883e+06 15.6899 -15.6899 -17.9151 -13.7462 942480
257 14842.3 931857 11590.3 -1.0988e+06 1.11276e+06 15.9368 -15.9368 -18.1608 -13.9931 953070
258 14688 920629 11612.1 -1.10323e+06 1.10323e+06 16.1858 -16.1858 -18.4084 -14.242 945254
259 14215 901463 11325.6 -1.10321e+06 1.08499e+06 16.409 -16.409 -18.6432 -14.4653 930496
260 13985 898459 11232.4 -1.08498e+06 1.0756e+06 16.6239 -16.6239 -18.8699 -14.6802 921559
261 13942.4 881299 11072.4 -1.07558e+06 1.0943e+06 16.8582 -16.8582 -19.0894 -14.9144 942795
262 16732 1.07775e+06 13550.5 -1.0943e+06 1.25397e+06 17.0696 -17.0696 -19.3186 -15.1259 1.06907e+06
263 16312.1 1.05384e+06 13112.1 -1.25394e+06 1.26268e+06 17.2772 -17.2772 -19.5298 -15.3334 1.08261e+06
264 15624.8 1.01709e+06 12788.8 -1.26266e+06 1.22443e+06 17.4871 -17.4871 -19.7473 -15.5434 1.04986e+06
265 15511.8 1.01298e+06 12660 -1.22439e+06 1.21439e+06 17.6858 -17.6858 -19.9477 -15.742 1.04154e+06
266 15546.3 1.01013e+06 12653.1 -1.21437e+06 1.21107e+06 17.8937 -17.8937 -20.152 -15.95 1.03775e+06
267 15188.2 1.00088e+06 12481.4 -1.21106e+06 1.19939e+06 18.0874 -18.0874 -20.3588 -16.1437 1.02795e+06
268 15128 991432 12289.2 -1.19938e+06 1.18562e+06 18.2893 -18.2893 -20.5561 -16.3455 1.01563e+06
269 14692.5 966834 12071.2 -1.18561e+06 1.16248e+06 18.4937 -18.4937 -20.7644 -16.55 996914
270 14232.3 957273 11913.6 -1.16244e+06 1.14738e+06 18.667 -18.667 -20.9604 -16.7232 983591
271 14107.8 948748 11821.5 -1.14737e+06 1.13818e+06 18.8447 -18.8447 -21.1369 -16.901 975590
272 13917.2 945664 11742.3 -1.13818e+06 1.13256e+06 19.0121 -19.0121 -21.3138 -17.0684 970567
273 13791.3 937724 11686.2 -1.13253e+06 1.12131e+06 19.1802 -19.1802 -21.4831 -17.2365 960550
274 13393.1 914471 11393.2 -1.12129e+06 1.09968e+06 19.34 -19.34 -21.6478 -17.3963 943035
275 13168.1 912937 11109.4 -1.09966e+06 1.09536e+06 19.4865 -19.4865 -21.808 -17.5428 939262
276 13564.4 926181 11574.2 -1.09534e+06 1.10559e+06 19.6706 -19.6706 -21.9776 -17.7269 947187
277 13366.9 910663 11236 -1.10558e+06 1.09338e+06 19.8314 -19.8314 -22.136 -17.8876 937080
278 13315.7 903538 11206.7 -1.09335e+06 1.08545e+06 20.0089 -20.0089 -22.3097 -18.0652 929875
279 13037.5 907552 11207.5 -1.08764e+06 1.08764e+06 20.156 -20.156 -22.482 -18.2123 931407
280 13033.6 908704 11231.9 -1.08762e+06 1.08829e+06 20.3053 -20.3053 -22.6329 -18.3616 932526
281 13064.1 914761 11154.2 -1.08826e+06 1.09249e+06 20.45 -20.45 -22.7811 -18.5063 936346
282 12716.9 902880 11108.6 -1.09247e+06 1.08249e+06 20.5943 -20.5943 -22.9394 -18.6506 928602
283 12786.5 905546 11130.3 -1.08248e+06 1.08628e+06 20.7321 -20.7321 -23.0746 -18.7884 932007
284 13018.5 916306 11400.8 -1.08627e+06 1.0981e+06 20.8764 -20.8764 -23.2132 -18.9327 940794
285 13027.8 930240 11417.3 -1.09808e+06 1.10876e+06 20.9951 -20.9951 -23.3456 -19.0514 949497
286 12828.9 914758 11288 -1.10872e+06 1.09985e+06 21.1283 -21.1283 -23.4777 -19.1846 943631
287 12805.6 926869 11398.5 -1.09985e+06 1.11099e+06 21.2416 -21.2416 -23.6055 -19.2978 952390
288 13154.7 941661 11494.5 -1.11096e+06 1.12421e+06 21.369 -21.369 -23.7219 -19.4252 962774
289 12724.6 935522 11548.5 -1.12417e+06 1.12063e+06 21.4774 -21.4774 -23.8569 -19.5337 960512
290 12714.5 938166 11538.1 -1.12062e+06 1.13776e+06 21.5708 -21.5708 -23.9538 -19.6271 977960
291 13885.6 1.03363e+06 12762.5 -1.13775e+06 1.22014e+06 21.6592 -21.6592 -24.0509 -19.7155 1.0441e+06
292 13949.5 1.03738e+06 12683.3 -1.22013e+06 1.242e+06 21.7446 -21.7446 -24.1353 -19.8009 1.06487e+06
293 13870.5 1.04059e+06 12939.2 -1.24199e+06 1.24484e+06 21.8309 -21.8309 -24.2304 -19.8872 1.06698e+06
294 13695.6 1.04415e+06 12921.3 -1.2448e+06 1.2477e+06 21.8846 -21.8846 -24.2999 -19.9409 1.06963e+06
295 13519.2 1.0438e+06 12980.3 -1.24769e+06 1.24929e+06 21.9303 -21.9303 -24.3581 -19.9865 1.07126e+06
296 13643.5 1.04625e+06 12828.2 -1.24925e+06 1.24956e+06 21.9778 -21.9778 -24.3988 -20.0341 1.0706e+06
297 13376.8 1.0349e+06 12665.1 -1.24955e+06 1.24088e+06 22.0307 -22.0307 -24.4604 -20.087 1.06396e+06
298 13348 1.03838e+06 12651.1 -1.24086e+06 1.24008e+06 22.08 -22.08 -24.5151 -20.1363 1.06284e+06
299 13088.4 1.03279e+06 12491.9 -1.24005e+06 1.23131e+06 22.1197 -22.1197 -24.5687 -20.1759 1.05488e+06
300 12661.1 1.01134e+06 12307.5 -1.23128e+06 1.04122e+06 22.1542 -22.1542 -24.6154 -20.2105 868596
