Component 1: CO2 -> Updated 198 times 
Min Macrostate : 60
Max Macrostate : 120
Wang-Landau Factor : 1
N NMol Bin CM[-1] CM[0] CM[1] WLBias ln_g TMBias lnpi Forward_lnpi Reverse_lnpi Histogram
47 47 0 111134 1.43128e+06 62819.1 32.5705 1.92686e+06 34.3006 -34.3006 -36.4322 -33.7621 1.60598e+06
48 48 0 110663 1.43531e+06 62710.4 33.1483 1.93044e+06 34.8652 -34.8652 -37.0031 -34.3267 1.6082e+06
49 49 0 109875 1.44498e+06 62654.5 34.3006 1.9388e+06 35.421 -35.421 -37.5714 -34.8825 1.61546e+06
50 50 0 109198 1.43867e+06 62408.4 34.3006 1.93395e+06 35.9813 -35.9813 -38.1333 -35.4428 1.61163e+06
51 51 0 107814 1.43678e+06 62111.3 34.8652 1.92919e+06 36.53 -36.53 -38.693 -35.9915 1.60773e+06
52 52 0 106907 1.43949e+06 62164.3 35.9813 1.92879e+06 37.0719 -37.0719 -39.2445 -36.5334 1.60709e+06
53 53 0 105648 1.43696e+06 61675.7 36.53 1.92856e+06 37.6053 -37.6053 -39.7866 -37.0668 1.60772e+06
54 54 0 106226 1.44609e+06 62132.3 36.53 1.9314e+06 38.1428 -38.1428 -40.325 -37.6043 1.6081e+06
55 55 0 103605 1.43488e+06 61330.9 37.6053 1.92012e+06 38.6634 -38.6634 -40.8617 -38.1249 1.60107e+06
56 56 0 103124 1.42554e+06 60720.2 38.1428 1.90775e+06 39.1896 -39.1896 -41.3861 -38.6511 1.58964e+06
57 57 0 101139 1.41918e+06 60499.9 38.1428 1.89941e+06 39.7054 -39.7054 -41.9156 -39.1669 1.58358e+06
58 58 0 100606 1.41985e+06 60366.3 38.6634 1.89689e+06 40.2144 -40.2144 -42.43 -39.6759 1.58031e+06
59 59 0 100165 1.42582e+06 60412.2 39.1896 1.90312e+06 40.7177 -40.7177 -42.9409 -40.1792 1.58619e+06
60 60 0 99398 1.4295e+06 60182.8 40.2144 1.58952e+06 41.2143 -41.2143 -43.4473 -40.6758 1.27192e+06
